# Input file name  = bc03/models/Geneva1994/chabrier/bc2003_hr_m64_chab_ssp.ised
# Output file name = spectra/original/model_template_hr.csv
# Record         136         153         161         169         177         185
# Column           2           3           4           5           6           7
# SED(Lo/A)       at          at          at          at          at          at    
# Lambda(A)  1.01519E+09 3.00000E+09 5.00000E+09 7.00000E+09 9.00000E+09 1.10000E+10
3.686000E+03 9.02765E-05 2.54751E-05 1.33632E-05 9.44617E-06 6.96379E-06 5.40438E-06
3.687000E+03 9.00602E-05 2.50265E-05 1.31055E-05 9.21438E-06 6.77143E-06 5.24921E-06
3.688000E+03 9.33503E-05 2.56936E-05 1.35951E-05 9.61316E-06 7.09587E-06 5.50979E-06
3.689000E+03 9.74404E-05 2.77284E-05 1.49292E-05 1.06910E-05 7.99140E-06 6.25458E-06
3.690000E+03 1.02398E-04 2.99516E-05 1.63399E-05 1.18942E-05 9.00208E-06 7.09858E-06
3.691000E+03 1.04861E-04 3.18002E-05 1.73638E-05 1.27020E-05 9.67384E-06 7.68231E-06
3.692000E+03 1.05143E-04 3.18304E-05 1.72782E-05 1.26074E-05 9.58126E-06 7.60398E-06
3.693000E+03 1.05137E-04 3.10198E-05 1.66077E-05 1.19803E-05 9.02359E-06 7.13014E-06
3.694000E+03 1.04738E-04 3.02228E-05 1.61477E-05 1.15967E-05 8.70673E-06 6.86855E-06
3.695000E+03 1.03618E-04 2.96831E-05 1.59530E-05 1.14659E-05 8.60693E-06 6.77969E-06
3.696000E+03 1.01100E-04 2.96826E-05 1.61641E-05 1.17295E-05 8.87162E-06 7.00887E-06
3.697000E+03 1.01264E-04 3.03418E-05 1.66769E-05 1.21797E-05 9.25898E-06 7.33527E-06
3.698000E+03 1.05359E-04 3.19355E-05 1.76476E-05 1.29784E-05 9.91553E-06 7.87781E-06
3.699000E+03 1.11213E-04 3.33258E-05 1.83319E-05 1.34034E-05 1.01962E-05 8.08471E-06
3.700000E+03 1.15237E-04 3.38131E-05 1.84297E-05 1.34215E-05 1.01901E-05 8.08323E-06
3.701000E+03 1.13383E-04 3.28228E-05 1.77836E-05 1.28897E-05 9.76666E-06 7.75536E-06
3.702000E+03 1.06851E-04 3.09286E-05 1.66835E-05 1.20388E-05 9.09437E-06 7.20641E-06
3.703000E+03 9.66058E-05 2.77231E-05 1.47814E-05 1.05103E-05 7.83769E-06 6.16098E-06
3.704000E+03 8.81369E-05 2.51354E-05 1.32340E-05 9.34486E-06 6.91894E-06 5.41223E-06
3.705000E+03 8.38393E-05 2.32095E-05 1.20333E-05 8.38753E-06 6.10504E-06 4.69464E-06
3.706000E+03 8.65258E-05 2.29763E-05 1.18332E-05 8.23376E-06 5.97767E-06 4.58930E-06
3.707000E+03 9.06028E-05 2.34667E-05 1.20341E-05 8.34910E-06 6.03830E-06 4.62094E-06
3.708000E+03 9.39827E-05 2.42882E-05 1.24839E-05 8.65510E-06 6.25327E-06 4.77680E-06
3.709000E+03 9.48088E-05 2.50549E-05 1.30220E-05 9.11444E-06 6.65120E-06 5.11876E-06
3.710000E+03 9.38491E-05 2.64492E-05 1.41902E-05 1.01824E-05 7.61034E-06 5.96105E-06
3.711000E+03 9.32845E-05 2.77791E-05 1.52971E-05 1.11965E-05 8.50775E-06 6.71836E-06
3.712000E+03 9.60007E-05 2.95988E-05 1.66022E-05 1.23196E-05 9.47171E-06 7.53985E-06
3.713000E+03 1.02279E-04 3.17563E-05 1.77343E-05 1.31020E-05 1.00541E-05 8.00816E-06
3.714000E+03 1.08643E-04 3.27613E-05 1.81017E-05 1.32727E-05 1.01266E-05 8.04445E-06
3.715000E+03 1.14478E-04 3.30525E-05 1.78804E-05 1.29137E-05 9.71880E-06 7.65078E-06
3.716000E+03 1.18785E-04 3.24043E-05 1.72394E-05 1.22947E-05 9.14540E-06 7.14753E-06
3.717000E+03 1.18901E-04 3.07715E-05 1.59418E-05 1.11330E-05 8.12521E-06 6.26550E-06
3.718000E+03 1.14005E-04 2.80101E-05 1.40420E-05 9.54255E-06 6.80699E-06 5.20153E-06
3.719000E+03 1.03647E-04 2.47228E-05 1.20407E-05 7.98748E-06 5.58851E-06 4.23301E-06
3.720000E+03 8.98935E-05 2.10980E-05 1.02684E-05 6.77504E-06 4.68508E-06 3.49906E-06
