wavelengths 1 3 5 7 9 11
3047.33542717 7.939684424526208e-05 1.812984472028199e-05 9.828813518633742e-06 6.304819439608349e-06 4.285013703337943e-06 3.0804653824519327e-06
3047.84335873 6.65613231511762e-05 1.2138394757596249e-05 5.9346701051980935e-06 3.5517695271993455e-06 2.274085079731295e-06 1.5651811856799941e-06
3048.35137496 6.0869526466558766e-05 9.752359357449287e-06 4.296790469170858e-06 2.362161613941233e-06 1.3908167773649226e-06 8.958380889803654e-07
3048.85947586 6.58288220032585e-05 1.2665967464404335e-05 6.02668019122367e-06 3.4778543181837014e-06 2.1268795046908283e-06 1.3989201465582333e-06
3049.36766146 7.073072056719437e-05 1.5687178225788156e-05 8.175136776136543e-06 5.056230257681375e-06 3.3036913601893544e-06 2.289708240103681e-06
3049.87593175 7.185514959780113e-05 1.6818442276585395e-05 9.294125680394105e-06 6.048207109089556e-06 4.164467080189928e-06 3.02851067877691e-06
3050.38428677 8.125138155677386e-05 1.9787094541907115e-05 1.1139615831466747e-05 7.3677687453178224e-06 5.159413349331996e-06 3.816814823947871e-06
3050.89272652 8.063623386354004e-05 1.9145029057453367e-05 1.0520734262361248e-05 6.841450416657586e-06 4.720061719916819e-06 3.4560331850493986e-06
3051.40125102 7.121017930053226e-05 1.551159462251185e-05 8.017489874558073e-06 4.970058020019114e-06 3.275614908023298e-06 2.310714831021478e-06
3051.90986028 7.710029944109965e-05 1.770010416033667e-05 9.329307722463606e-06 5.8511827732877185e-06 3.889429103770786e-06 2.758085841985156e-06
3052.41855431 9.352357153522468e-05 2.40792778151363e-05 1.3579286552306114e-05 8.976193766020427e-06 6.272262702663728e-06 4.641712166734166e-06
3052.92733313 0.00010035498104998934 2.683732818212746e-05 1.5600773435699702e-05 1.0585411692819824e-05 7.588621558594368e-06 5.749236718856159e-06
3053.43619676 9.25408528549558e-05 2.385284149711548e-05 1.3768110592683085e-05 9.325196597318026e-06 6.683997085377484e-06 5.072835378207565e-06
3053.9451452 7.810336841379046e-05 1.828304109761954e-05 1.0189884633768837e-05 6.745585989263824e-06 4.743686353894964e-06 3.5471733773367002e-06
3054.45417848 6.847234660470055e-05 1.3868273974749432e-05 7.146513457329715e-06 4.465864386024861e-06 2.982437838248257e-06 2.1380248890300443e-06
3054.9632966 6.752411103836162e-05 1.3098478963299873e-05 6.38115655381386e-06 3.7829551135110316e-06 2.390771028754564e-06 1.6289185448179659e-06
3055.47249958 7.030910062965162e-05 1.4545157434965557e-05 7.377817482741496e-06 4.5100964054517275e-06 2.9351854628243476e-06 2.0476409190324418e-06
3055.98178744 7.280346715278674e-05 1.6435873036706328e-05 8.915585109410689e-06 5.745106781317954e-06 3.930734260748613e-06 2.857973515647722e-06
3056.49116018 7.804549298173364e-05 1.8451139938635935e-05 1.0386472324355625e-05 6.8934426830518146e-06 4.851565145298744e-06 3.6142302110438764e-06
3057.00061783 8.107977071371687e-05 1.8933656834473953e-05 1.0562452168920363e-05 6.968397651062656e-06 4.88128471974139e-06 3.6212828281458797e-06
3057.51016039 6.874993699850908e-05 1.49868603110733e-05 8.02631047444209e-06 5.128257632598283e-06 3.4825035306661986e-06 2.5123237926426337e-06
3058.01978789 5.339000721652752e-05 9.800253622881293e-06 4.913352625025802e-06 2.9998557552130207e-06 1.9525716218680318e-06 1.3602740128122814e-06
3058.52950033 4.666302989244975e-05 7.062200444974128e-06 3.316274981107002e-06 1.9430099635393594e-06 1.2188575963718055e-06 8.253311690358168e-07
3059.03929773 5.5842447577359986e-05 9.54353482261917e-06 4.524133367635658e-06 2.6301186178725165e-06 1.6259002094123712e-06 1.0813426718476272e-06
3059.5491801 6.18244904462002e-05 1.0559826179088769e-05 4.7973504753545045e-06 2.689942558735535e-06 1.6068336538998959e-06 1.0414198402242866e-06
3060.05914746 5.500973981847881e-05 8.781126121184061e-06 3.944401279164606e-06 2.217987679577853e-06 1.3388462645979116e-06 8.798946471662428e-07
3060.56919982 5.776996857126921e-05 1.0815150750310984e-05 5.4100361713117385e-06 3.2933326307688534e-06 2.136617651033023e-06 1.4797958871975567e-06
3061.0793372 6.935880071745005e-05 1.3831367250297127e-05 7.200986159604889e-06 4.512701278055509e-06 3.0087816823348712e-06 2.1307353603288954e-06
3061.5895596 7.311804061099504e-05 1.4498329151890864e-05 7.638161657412695e-06 4.850901721097969e-06 3.2856710850211222e-06 2.3681085290808672e-06
3062.09986705 7.628813236220758e-05 1.627778313796584e-05 8.793831943069502e-06 5.68402134639679e-06 3.91433410208227e-06 2.865492567801537e-06
3062.61025956 7.680545641679269e-05 1.720325075452173e-05 9.407182405690089e-06 6.132489145210793e-06 4.258032390355092e-06 3.1431051563602318e-06
3063.12073714 8.032238769533037e-05 1.929503603358233e-05 1.0874481282157966e-05 7.2552038749750915e-06 5.150520150339213e-06 3.879803805592469e-06
3063.63129981 8.171140305568496e-05 1.937861521763553e-05 1.093502132894246e-05 7.323694991573283e-06 5.225378985063288e-06 3.9570363431517694e-06
3064.14194758 7.377562447315189e-05 1.5645151723770714e-05 8.411072999267135e-06 5.4621509090496155e-06 3.7971273484066683e-06 2.815516001491618e-06
3064.65268047 7.052894591573936e-05 1.3704874564070551e-05 7.02030357765187e-06 4.412136008733929e-06 2.978484863878095e-06 2.152987783216455e-06
3065.16349848 7.324702306302016e-05 1.4114300643775585e-05 7.1549865735138665e-06 4.460151896052938e-06 2.9871665659860947e-06 2.1441203910797015e-06
